number,step,time,node
574,57,247563,670033323
576,57,481640,1306031096
577,50,7098,18997069
578,52,2804,7382010
579,57,143636,385175086
580,44,41419,112933347
584,44,1100,2870541
592,50,5484,14460832
595,48,1719,4565385
596,41,173,426176
597,57,272352,740795665
602,59,162879,435224644
608,60,14702,39235844
609,55,543879,1482106404
610,50,1376,3504291
611,52,7285,19694053
613,44,40,104930
614,50,2944,7846034
617,51,21766,59152580
619,47,10025,26927403
620,48,3346,8929865
621,51,12956,34987957
623,57,250132,674434746
624,57,311671,852291802
625,45,5491,14656734
628,47,5424,14658532
630,58,18380,49143060
637,57,14285,38641570
643,56,7952,21132901
644,47,3882,10399729
649,56,62635,169797338
651,47,4378,11710696
652,52,45684,124186088
653,55,204686,554561189
655,52,615,1623454
656,57,5528,14688657
657,65,460043,1233311923
658,50,11931,32562013
659,59,268917,725843506
660,53,38200,103703163
661,58,211505,570846270
663,60,488707,1312843306
665,53,17196,46207761
668,54,160537,433013245
670,54,4505,11777899
674,56,90846,245505715
675,52,6919,18616144
679,53,41585,112794987
680,38,383,1028148
682,52,6810,18064606
684,55,8022,21394921
686,58,56573,153065939
687,52,3179,8429029
689,49,503,1360796
691,56,6846,18402208
693,56,9686,25639597
694,48,4582,12135775
695,58,88207,237446146
696,46,4990,13457066
698,60,314727,853630982
702,60,53511,144078828
705,53,18760,50135520
708,55,90289,245345464
709,56,110747,300271203
711,49,3301,8674566
714,53,65546,177307115
716,50,5629,14937025
718,60,2295963,1962924778
720,60,243617,659724825
721,57,47906,129928827
725,52,40398,109923810
726,61,23890,62308806
728,60,1337882,-685473575
729,52,1667,4264697
731,51,3389,8997873
732,53,4718,12621022
734,44,671,1791868
735,59,826192,-2058337179
737,46,533,1440926
741,51,4488,11813608
742,52,4584,12262252
745,46,219,501697
746,61,357417,963319322
752,54,11915,31563027
755,47,2853,7362887
757,43,312,800921
758,59,14326,38480825
760,54,48758,131965867
761,55,47524,128346689
763,56,92662,252999400
767,56,1980,5109682
768,53,54681,147205862
770,54,2308,6011291
771,46,492,1314652
773,44,6552,17331880
775,62,195861,528918794
776,55,527415,1431741883
778,46,397,1047485
779,61,1269698,-867392471
781,43,710,1843018
782,54,125025,341309429
784,51,22490,59985795
785,63,306631,828249746
786,53,21858,58881376
787,51,4844,12958204
789,54,22806,61715038
791,57,149773,405768719
792,63,551170,1482515193
793,53,27507,74081517
794,50,5891,15720697
797,42,294,777474
798,51,18733,50713102
799,49,8197,22094533
800,51,2092,5557098
801,61,160278,431875313
802,40,223,587758
803,48,15217,41392448
806,48,22975,62375353
810,40,472,1277265
811,59,96830,261784331
813,49,4415,11856778
814,47,679,1739840
817,61,35367,94986649
819,52,31998,86050348
821,58,97858,262969532
822,52,8230,22311075
823,44,545,1435231
824,52,1361,3394448
826,55,35716,96700124
829,46,80,202088
830,51,3326,8721994
831,55,67374,181313331
833,48,2123,5526190
834,56,205498,555668856
837,59,69086,185769848
842,47,2565,6708160
846,50,2254,5665839
849,55,52699,142597925
851,49,223,574150
852,55,39690,107014239
854,57,94376,254916178
855,48,5675,15051029
856,58,38837,105646663
857,61,351886,943293121
863,50,39683,107659474
864,52,14657,39425178
866,54,12602,33974109
868,50,58916,160536230
