step,count,average,min,max
1,491,0.0,0,0
2,491,0.0,0,0
3,491,0.016293279022403257,0,2
4,491,1.234215885947047,0,18
5,491,8.90020366598778,0,92
6,491,53.08146639511202,0,391
7,491,282.4562118126273,0,2019
8,491,1641.1201629327902,0,14286
9,491,8518.040733197557,0,78281
